ticker,time,open,high,low,close,volume
BIC,2025-01-02,33.7,34.0,33.7,34.0,200
BIC,2025-01-03,33.55,34.0,33.5,34.0,38500
BIC,2025-01-06,34.0,34.0,33.5,33.5,6232
BIC,2025-01-07,33.5,33.95,33.45,33.9,19219
BIC,2025-01-08,33.8,33.8,33.1,33.8,859
BIC,2025-01-09,33.8,33.8,33.25,33.45,5200
BIC,2025-01-10,33.6,34.5,33.3,34.3,35700
BIC,2025-01-13,34.1,34.1,33.2,34.1,43817
BIC,2025-01-14,34.0,34.0,33.7,33.75,7504
BIC,2025-01-15,33.75,35.0,33.75,34.3,53943
BIC,2025-01-16,34.1,34.5,34.1,34.4,12062
BIC,2025-01-17,34.15,34.6,34.15,34.4,51259
BIC,2025-01-20,34.4,34.4,33.85,33.85,8210
BIC,2025-01-21,33.9,34.9,33.9,33.95,17704
BIC,2025-01-22,34.0,34.0,33.65,33.65,12916
BIC,2025-01-23,33.65,34.0,33.65,34.0,11015
BIC,2025-01-24,34.0,34.0,33.55,33.55,14730
BIC,2025-02-03,33.6,34.2,33.6,34.0,12304
BIC,2025-02-04,34.65,34.65,33.9,34.45,66022
BIC,2025-02-05,34.4,34.4,34.2,34.4,9705
BIC,2025-02-06,34.4,34.65,33.8,34.65,128328
BIC,2025-02-07,34.8,36.9,34.5,35.85,140983
BIC,2025-02-10,35.95,36.5,35.5,35.5,70479
BIC,2025-02-11,35.5,36.0,35.1,35.5,74704
BIC,2025-02-12,35.5,37.0,35.3,36.95,196344
BIC,2025-02-13,37.5,37.5,36.5,36.7,61635
BIC,2025-02-14,36.65,37.2,36.5,36.5,42233
BIC,2025-02-17,36.9,36.9,36.3,36.3,138800
BIC,2025-02-18,36.95,37.5,36.05,37.4,243346
BIC,2025-02-19,37.8,37.8,37.1,37.4,68070
BIC,2025-02-20,37.5,38.3,37.45,37.8,178370
BIC,2025-02-21,38.0,38.2,37.5,37.75,54249
BIC,2025-02-24,37.75,37.75,37.4,37.75,29958
BIC,2025-02-25,37.75,37.75,36.5,36.55,101287
BIC,2025-02-26,36.55,36.8,36.05,36.4,69360
BIC,2025-02-27,36.4,36.5,36.3,36.5,51215
BIC,2025-02-28,36.9,36.9,36.3,36.35,29310
BIC,2025-03-03,36.2,37.0,36.2,36.85,38845
BIC,2025-03-04,36.5,36.85,36.4,36.85,31522
BIC,2025-03-05,36.85,36.9,36.6,36.7,19559
BIC,2025-03-06,36.55,37.05,36.55,36.7,30826
BIC,2025-03-07,36.9,37.0,36.7,36.95,12514
BIC,2025-03-10,37.35,37.6,36.5,36.75,18026
BIC,2025-03-11,37.0,37.0,36.35,36.7,22485
BIC,2025-03-12,36.5,36.9,36.1,36.85,29548
BIC,2025-03-13,36.85,36.9,36.2,36.55,61415
BIC,2025-03-14,36.2,36.25,35.7,35.8,15545
BIC,2025-03-17,35.85,35.85,35.3,35.6,83810
BIC,2025-03-18,35.4,35.75,35.35,35.4,13060
BIC,2025-03-19,35.4,35.7,35.35,35.55,13111
BIC,2025-03-20,35.5,35.65,35.3,35.65,28511
BIC,2025-03-21,35.7,35.7,35.1,35.3,33100
BIC,2025-03-24,35.3,35.45,35.0,35.0,34635
BIC,2025-03-25,35.0,35.1,34.75,34.8,43810
BIC,2025-03-26,34.8,35.0,34.8,34.8,32700
BIC,2025-03-27,34.8,35.0,34.8,34.8,7000
BIC,2025-03-28,34.8,34.95,34.7,34.8,16007
BIC,2025-03-31,34.8,35.6,34.8,35.3,59020
BIC,2025-04-01,35.7,35.9,35.7,35.85,8801
BIC,2025-04-02,35.95,36.25,35.55,35.95,33611
BIC,2025-04-03,34.0,34.25,33.45,33.45,366242
BIC,2025-04-04,32.5,33.95,31.6,33.15,109808
BIC,2025-04-08,31.5,33.0,31.4,31.5,215218
BIC,2025-04-09,29.6,32.4,29.5,32.4,172317
BIC,2025-04-10,34.65,34.65,34.1,34.65,118577
BIC,2025-04-11,35.75,35.75,33.0,33.85,52015
BIC,2025-04-14,33.9,33.95,33.65,33.95,66230
BIC,2025-04-15,33.85,34.0,33.5,33.9,111605
BIC,2025-04-16,34.0,34.45,33.7,33.9,22612
BIC,2025-04-17,35.0,35.0,33.6,33.8,17800
BIC,2025-04-18,34.85,34.85,33.85,34.25,43100
BIC,2025-04-21,34.3,35.0,34.3,34.95,48196
BIC,2025-04-22,35.0,35.0,32.6,34.0,22114
BIC,2025-04-23,34.1,34.8,34.1,34.75,10707
BIC,2025-04-24,34.5,35.0,34.5,34.8,19021
BIC,2025-04-25,34.8,34.8,34.45,34.8,7613
BIC,2025-04-28,34.7,34.7,34.4,34.65,6633
BIC,2025-04-29,34.65,34.95,34.65,34.85,22121
BIC,2025-05-05,34.95,34.95,34.85,34.9,24510
BIC,2025-05-06,34.65,35.9,34.65,35.55,115942
BIC,2025-05-07,35.75,35.75,35.5,35.7,36129
BIC,2025-05-08,35.8,36.0,35.7,35.9,80711
BIC,2025-05-09,35.95,35.95,35.4,35.4,47133
BIC,2025-05-12,35.4,35.7,35.15,35.2,43603
BIC,2025-05-13,35.5,35.5,35.0,35.3,44702
BIC,2025-05-14,35.3,35.3,34.85,35.15,31701
BIC,2025-05-15,35.1,35.25,34.9,35.25,51824
BIC,2025-05-16,35.35,35.35,34.95,35.0,22009
BIC,2025-05-19,35.2,35.5,34.9,35.4,57200
BIC,2025-05-20,35.4,35.45,35.0,35.05,37760
